nhm_id,byHRU,byHW,hw_id,byHWobs,level
764,1,0,,0,1
765,1,1,138,0,2
766,1,1,130,0,2
767,1,1,131,0,2
768,1,1,138,0,2
769,1,1,138,0,2
770,1,1,130,0,2
771,1,1,7,0,2
772,1,1,130,0,2
773,1,1,15,0,2
774,1,1,131,0,2
775,1,1,130,0,2
776,1,1,15,0,2
777,1,1,91,1,3
778,1,1,130,0,2
779,1,1,91,1,3
780,1,1,91,1,3
781,1,1,15,0,2
782,1,1,138,0,2
783,1,1,130,0,2
784,1,1,17,0,2
785,1,1,91,1,3
786,1,1,91,1,3
787,1,0,,0,1
788,1,0,,0,1
789,1,1,21,0,2
790,1,0,,0,1
791,1,1,15,0,2
792,1,1,91,1,3
793,1,0,,0,1
794,1,1,138,0,2
795,1,0,,0,1
796,1,1,130,0,2
797,1,1,138,0,2
798,1,0,,0,1
799,1,1,17,0,2
800,1,0,,0,1
801,1,1,91,1,3
802,1,1,91,1,3
803,1,1,91,1,3
804,1,1,91,1,3
805,1,0,,0,1
806,1,0,,0,1
807,1,1,91,1,3
808,1,1,138,0,2
809,1,1,138,0,2
810,1,1,138,0,2
811,1,1,138,0,2
812,1,1,91,1,3
813,1,1,91,1,3
814,1,1,91,1,3
815,1,1,91,1,3
816,1,1,138,0,2
817,1,0,,0,1
818,1,1,91,1,3
819,1,1,17,0,2
820,1,1,138,0,2
821,1,1,138,0,2
822,1,1,138,0,2
823,1,1,91,1,3
824,1,1,91,1,3
825,1,1,91,1,3
826,1,1,128,1,3
827,1,1,138,0,2
828,1,1,91,1,3
829,1,0,,0,1
830,1,1,128,1,3
831,1,1,138,0,2
832,1,1,15,0,2
833,1,1,91,1,3
834,1,1,54,0,2
835,1,1,54,0,2
836,1,1,10,0,2
837,1,1,91,1,3
838,1,1,138,0,2
839,1,1,91,1,3
840,1,1,128,1,3
841,1,1,91,1,3
842,1,0,,0,1
843,1,1,91,1,3
844,1,1,91,1,3
845,1,1,15,0,2
846,1,1,10,0,2
847,1,1,91,1,3
848,1,1,15,0,2
849,1,1,138,0,2
850,1,1,128,1,3
